Name	Set	ImageFile	Type	Stage	HP	Weakness	Resistance	RetreatCost	Rarity	Text
Alakazam (BS)	BS	BS_001	Psychic	Stage 2 - Kadabra	80	Psychic x2		3	Rare Holo	Pokemon Power: Damage Swap. As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokemon to another as long as you don't Knock Out that Pokemon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed. | [P][P][P] Confuse Ray: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Blastoise (BS)	BS	BS_002	Water	Stage 2 - Wartortle	100	Lightning x2		3	Rare Holo	Pokemon Power: Rain Dance. As often as you like during your turn (before your attack), you may attack 1 [W] Energy card to 1 of your [W] Pokemon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed. | [W][W][W] Hydro Pump: 40+ damage. Does 40 damage plus 10 more damage for each [W] Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd doesn't count.
Chansey (BS)	BS	BS_003	Colorless	Basic	120	Fighting x2	Psychic -30	1	Rare Holo	[C][C] Scrunch: Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.) | [C][C][C][C] Double-edge: 80 damage. Chansey does 80 damage to itself.
Charizard (BS)	BS	BS_004	Fire	Stage 2 - Charmeleon	120	Water x2	Fighting -30	3	Rare Holo	Pokemon Power: Energy Burn. As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into [R] Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed. | [R][R][R][R] Fire Spin: 100 damage. Discard 2 Energy cards attached to Charizard in order to use this attack.
Clefairy (BS)	BS	BS_005	Colorless	Basic	40	Fighting x2	Psychic -30	1	Rare Holo	[C] Sing: Flip a coin. If heads, the Defending Pokemon is now Asleep. | [C][C][C] Metronome: Choose 1 of the Defending Pokemon's attacks. Metronome copies that attack except of its Energy costs and anything else required in order to use that attach, such as discarding Energy cards. (No matter what type the Defending Pokemon is, Clefairy's type is still Colorless).
Gyarados (BS)	BS	BS_006	Water	Stage 1 - Magikarp	100	Grass x2	Fighting -30	3	Rare Holo	[W][W][W] Dragon Rage: 50 damage. | [W][W][W][W] Bubblebeam: 40 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Hitmonchan (BS)	BS	BS_007	Fighting	Basic	70	Psychic x2		2	Rare Holo	[F] Jab: 20 damage. | [F][F][C] Special Punch: 40 damage.
Machamp (BS)	BS	BS_008	Fighting	Stage 2 - Machoke	100	Psychic x2		3	Rare Holo	Pokemon Power: Strikes Back. Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokemon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks. | [F][F][F][C] Seismic Toss: 60 damage.
Magneton (BS)	BS	BS_009	Lightning	Stage 1 - Magnemite	60	Fighting x2		1	Rare Holo	[L][L][C] Thunder Wave: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [L][L][C][C] Selfdestruct: 80 damage. Does 20 damage to each player's Bench. (Don't apply Weakness and Resistance for Benched Pokemon.) Magneton does 80 damage to itself.
Mewtwo (BS)	BS	BS_010	Psychic	Basic	60	Psychic x2		3	Rare Holo	[P][C] Psychic: 10+ damage. Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokemon. | [P][P] Barrier: Discard 1 [P] Energy card attached to Mewtwo in order to use this attack. During your opponent's next turn, prevent all effects of attacks, including damage, done to Mewtwo.
Nidoking (BS)	BS	BS_011	Grass	Stage 2 - Nidorino	90	Psychic x2		3	Rare Holo	[G][C][C] Thrash: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself. | [G][G][G] Toxic: 20 damage. The Defending Pokemon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).
