Name	Set	ImageFile	Type	Stage	HP	Weakness	Resistance	RetreatCost	Rarity	Text
Pikachu (WBSP-1)	WBSP	WBSP_001	Lightning	Basic	60	Fighting x2		1	Promo	[C] Growl: If the Defending Pokemon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokemon ends this effect.) | [L][L] Thundershock: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Electabuzz (WBSP-1)	WBSP	WBSP_002	Lightning	Basic	60	Fighting x2		2	Promo	[L] Light Screen: Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.) | [C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.
Mewtwo (WBSP-1)	WBSP	WBSP_003	Psychic	Basic	70	Psychic x2		2	Promo	[P] Energy Absorption: Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo. | [P][P][C] Psyburn: 40 damage.
Pikachu (WBSP-2)	WBSP	WBSP_004	Lightning	Basic	50	Fighting x2		1	Promo	[L] Recharge: Search your deck for a [L] Energy card and attach it to Pikachu. Shuffle your deck afterward. | [L][L][L] Thunderbolt: 50 damage. Discard all Energy cards attached to Pikachu in order to use this attack.
Dragonite (WBSP)	WBSP	WBSP_005	Colorless	Stage 2 - Dragonair	90		Fighting -30	2	Promo	Pokemon Power: Special Delivery. Once during your turn (before your attack), you may draw a card. If you do, choose a card from your hand and put it on top of your deck. This power can't be used if Dragonite is Asleep, Confused, or Paralyzed. | [C][C][C] Supersonic Flight: 60 damage. Flip a coin. If tails, this attack does nothing.
Arcanine (WBSP)	WBSP	WBSP_006	Fire	Stage 1 - Growlithe	70	Water x2		1	Promo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [R][R] Flames of Rage: 40+ damage. Discard 2 [R] Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.
Jigglypuff (WBSP)	WBSP	WBSP_007	Colorless	Basic	50	Fighting x2	Psychic -30	1	Promo	[C] First Aid: Remove 1 damage counter from Jigglypuff. | [C][C][C] Double-edge: 40 damage. Jigglypuff does 20 damage to itself.
Mew (WBSP-1)	WBSP	WBSP_008	Psychic	Basic	50	Psychic x2		1	Promo	[P] Psywave: 10x damage. Does 10 damage times the number of Energy cards attached to the Defending Pokemon. | [P][P] Devolution Beam: Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).
Mew (WBSP-2)	WBSP	WBSP_009	Psychic	Basic	50	Psychic x2		1	Promo	[P] Psywave: 10x damage. Does 10 damage times the number of Energy cards attached to the Defending Pokemon. | [P][P] Devolution Beam: Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).
Meowth (WBSP)	WBSP	WBSP_010	Colorless	Basic	50	Fighting x2	Psychic -30	1	Promo	[C][C] Cat Punch: Flip a coin. If heads, this attack does 20 damage. If tails and if your opponent has any Benched Pokemon, he or she chooses 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)
